pitch_coord_sequence,pitch_types_sequence,pitch_results_sequence,ending_type,good_ending
"[(1.7970088266517397, -4.913594347474576)]",['fastball'],['SOFT-INPLAY'],soft-inplay,True
"[(-2.377268757906617, 1.098112912697405), (-8.255620019585729, 1.1216394595661965), (-0.27691362141393866, 18.77925143433993), (-5.931730583819666, -1.3702591840800695)]","['fastball', 'fastball', 'fastball', 'breaking']","['CALLED-STRIKE', 'WHIFF', 'BALL', 'CALLED-STRIKE']",strikeout,True
"[(-2.481189382737851, -1.067209062461124)]",['fastball'],['SOFT-INPLAY'],soft-inplay,True
"[(0.2767877252472679, 14.335672470155574), (11.521274494338032, 7.80212003153932), (0.30016351220411946, -4.2808131008432175), (-3.1451318059025843, 16.47757252731259), (-23.82197881366384, -27.792192867638654), (-12.699633121723686, -6.421254598664787)]","['fastball', 'fastball', 'fastball', 'fastball', 'breaking', 'fastball']","['BALL', 'FOUL', 'FOUL', 'BALL', 'BALL', 'BALL']",walk,False
"[(-11.1850464149336, 0.48002143696046257), (-11.026755371779661, -11.105980474706378), (-6.875951167859717, -18.237972849614025), (-18.175675398827263, -7.079451967961489), (-13.97579703799032, -1.0897453413120484)]","['breaking', 'breaking', 'fastball', 'fastball', 'fastball']","['CALLED-STRIKE', 'FOUL', 'BALL', 'BALL', 'HARD-INPLAY']",hard-inplay,False
"[(-8.651298814585923, -0.8281715340231718), (-10.13674566085416, -20.78090368233135), (-9.65918998877181, 1.537493884890324)]","['fastball', 'breaking', 'breaking']","['CALLED-STRIKE', 'WHIFF', 'CALLED-STRIKE']",strikeout,True
"[(8.723117968018302, 12.672015191451038)]",['fastball'],['SOFT-INPLAY'],soft-inplay,True
"[(-9.036276117728688, 0.7044649355509635), (-5.181761919123984, 8.04913543806602), (-16.03233453730683, 3.5672038701983024), (-4.057046178803758, -0.5545152028021293)]","['fastball', 'breaking', 'fastball', 'breaking']","['CALLED-STRIKE', 'CALLED-STRIKE', 'BALL', 'CALLED-STRIKE']",strikeout,True
"[(4.566302375922777, 10.836996355428468), (-6.720499868146767, 2.9364302871977874), (-12.224927629314132, 7.944666045633193)]","['fastball', 'breaking', 'fastball']","['FOUL', 'FOUL', 'HARD-INPLAY']",hard-inplay,False
"[(-1.9195355076381047, 0.014309140273570352), (-0.5013348506253709, 5.817217041231576)]","['fastball', 'fastball']","['FOUL', 'SOFT-INPLAY']",soft-inplay,True
"[(-0.3389608585875997, 5.6912677226144295)]",['breaking'],['HARD-INPLAY'],hard-inplay,False
"[(-4.1452295019488465, -1.6397754236190814), (-12.491022551975314, -0.5241928750402756), (1.5563708026931151, 23.781125202614614), (-19.512261059288264, 8.85084728547302), (-3.671804863879021, -6.842230063988228)]","['fastball', 'fastball', 'fastball', 'fastball', 'breaking']","['CALLED-STRIKE', 'FOUL', 'BALL', 'BALL', 'CALLED-STRIKE']",strikeout,True
"[(1.251885204425357, 7.590211222514514)]",['fastball'],['SOFT-INPLAY'],soft-inplay,True
"[(-9.101770111557238, -1.9674793093614937), (-10.93653989239971, -0.5501715828113667), (-6.536369193502617, 10.50303969684627), (-1.487168151884868, 22.07955613459381), (4.803552341162446, -4.446157666539162)]","['breaking', 'fastball', 'fastball', 'fastball', 'breaking']","['CALLED-STRIKE', 'CALLED-STRIKE', 'FOUL', 'BALL', 'CALLED-STRIKE']",strikeout,True
"[(-8.137243282089555, -4.938635180346902), (0.38682731355845584, 8.118187901768568)]","['breaking', 'fastball']","['CALLED-STRIKE', 'SOFT-INPLAY']",soft-inplay,True
"[(-0.039387452907192644, 14.625198933206903), (-6.695684321428571, 6.819166586108521), (-5.371927837235517, 2.6804020910872666)]","['fastball', 'fastball', 'fastball']","['BALL', 'BALL', 'SOFT-INPLAY']",soft-inplay,True
"[(-2.190469561496532, 0.20273757209332846), (-15.3595526329777, -4.243024605416879), (-17.026879701603352, 11.856494818402826), (2.8455110640869257, 7.461434990732068), (-11.822725919441869, 3.6995312811330248)]","['fastball', 'fastball', 'fastball', 'fastball', 'fastball']","['CALLED-STRIKE', 'CALLED-STRIKE', 'BALL', 'FOUL', 'CALLED-STRIKE']",strikeout,True
"[(-6.172216762282999, 7.305193086134506), (-9.60145036342712, -5.145264621185655), (2.159931603887219, -1.673780515692982), (-6.65715914285446, 6.080809758896156)]","['fastball', 'breaking', 'fastball', 'fastball']","['BALL', 'FOUL', 'FOUL', 'CALLED-STRIKE']",strikeout,True
"[(-6.644687007003513, -1.6830921112738677), (-6.334507195977363, 1.2011133228159259), (-5.927743926393103, 21.142937259183217), (-2.5849468929484796, -12.352596378154823)]","['fastball', 'fastball', 'fastball', 'breaking']","['CALLED-STRIKE', 'FOUL', 'BALL', 'CALLED-STRIKE']",strikeout,True
"[(3.29287260224825, 2.6643939445236096)]",['fastball'],['SOFT-INPLAY'],soft-inplay,True
"[(-1.131135882317187, -3.1632720084164023), (3.2745401309346285, 6.584876350937269)]","['fastball', 'fastball']","['CALLED-STRIKE', 'SOFT-INPLAY']",soft-inplay,True
"[(-0.9341648233671408, 0.6216453529170191), (-20.731752834330436, 6.764759177571221), (-0.4500474547526601, -1.9741999827563979), (-16.12392119211111, 3.892708281334561)]","['breaking', 'fastball', 'breaking', 'fastball']","['CALLED-STRIKE', 'BALL', 'FOUL', 'CALLED-STRIKE']",strikeout,True
